"part","per","TL","BL","TR","BR","right","self_adv","other_adv","self_dis","other_dis","selfish"
2,27,30,30,60,0,1,60,0,30,30,1
2,28,37,23,26,34,0,37,23,26,34,1
2,29,35,25,29,31,0,35,25,29,31,1
2,30,32,28,31,29,0,32,28,31,29,1
2,31,27,33,35,25,1,35,25,27,33,1
2,32,60,0,33,27,0,60,0,33,27,1
2,33,30,30,55,5,1,55,5,30,30,1
2,34,31,29,45,15,1,45,15,31,29,1
2,35,50,10,35,25,0,50,10,35,25,1
2,36,29,31,32,28,1,32,28,29,31,1
2,37,35,25,32,28,0,35,25,32,28,1
2,38,50,10,27,33,0,50,10,27,33,1
2,39,33,27,50,10,1,50,10,33,27,1
2,40,29,31,50,10,1,50,10,29,31,1
2,41,27,33,45,15,1,45,15,27,33,1
2,42,57,3,35,25,0,57,3,35,25,1
2,43,34,26,60,0,1,60,0,34,26,1
2,44,57,3,60,0,1,60,0,57,3,1
2,45,60,0,29,31,0,60,0,29,31,1
2,46,39,21,57,3,1,57,3,39,21,1
2,47,57,3,3,57,0,57,3,3,57,1
2,48,50,10,45,15,0,50,10,45,15,1
2,49,31,29,29,31,0,31,29,29,31,1
2,50,40,20,45,15,1,45,15,40,20,1
2,51,26,34,45,15,1,45,15,26,34,1
2,52,60,0,37,23,0,60,0,37,23,1
2,53,55,5,32,28,0,55,5,32,28,1
2,54,28,32,37,23,1,37,23,28,32,1
2,55,55,5,39,21,0,55,5,39,21,1
2,56,27,33,55,5,1,55,5,27,33,1
2,57,40,20,20,40,0,40,20,20,40,1
2,58,30,30,39,21,1,39,21,30,30,1
2,59,60,0,50,10,0,60,0,50,10,1
2,60,33,27,29,31,0,33,27,29,31,1
2,61,45,15,23,37,0,45,15,23,37,1
2,62,29,31,37,23,1,37,23,29,31,1
2,63,10,50,57,3,1,57,3,10,50,1
2,64,21,39,45,15,1,45,15,21,39,1
2,65,28,32,57,3,1,57,3,28,32,1
2,66,25,35,40,20,1,40,20,25,35,1
2,67,33,27,40,20,1,40,20,33,27,1
2,68,30,30,31,29,1,31,29,30,30,1
2,69,35,25,55,5,1,55,5,35,25,1
2,70,10,50,50,10,1,50,10,10,50,1
2,71,34,26,31,29,0,34,26,31,29,1
2,72,35,25,60,0,1,60,0,35,25,1
2,73,40,20,60,0,1,60,0,40,20,1
2,74,39,21,28,32,0,39,21,28,32,1
2,75,32,28,34,26,1,34,26,32,28,1
2,76,34,26,39,21,1,39,21,34,26,1
2,77,39,21,29,31,0,39,21,29,31,1
2,78,26,34,39,21,1,39,21,26,34,1
2,79,60,0,39,21,0,60,0,39,21,1
2,80,33,27,34,26,1,34,26,33,27,1
2,81,45,15,33,27,0,45,15,33,27,1
2,82,40,20,27,33,0,40,20,27,33,1
2,83,28,32,50,10,1,50,10,28,32,1
2,84,21,39,39,21,1,39,21,21,39,1
2,85,35,25,33,27,0,35,25,33,27,1
2,86,37,23,50,10,1,50,10,37,23,1
2,87,35,25,25,35,0,35,25,25,35,1
2,88,28,32,34,26,1,34,26,28,32,1
2,89,15,45,50,10,1,50,10,15,45,1
2,90,57,3,34,26,0,57,3,34,26,1
2,91,45,15,60,0,1,60,0,45,15,1
2,92,37,23,35,25,0,37,23,35,25,1
2,93,45,15,15,45,0,45,15,15,45,1
2,94,28,32,32,28,1,32,28,28,32,1
2,95,29,31,40,20,1,40,20,29,31,1
2,96,60,0,15,45,0,60,0,15,45,1
2,97,25,35,50,10,1,50,10,25,35,1
2,98,37,23,27,33,0,37,23,27,33,1
2,99,45,15,55,5,1,55,5,45,15,1
2,100,31,29,55,5,1,55,5,31,29,1
2,101,23,37,57,3,1,57,3,23,37,1
2,102,50,10,57,3,1,57,3,50,10,1
2,103,39,21,33,27,0,39,21,33,27,1
2,104,34,26,30,30,0,34,26,30,30,1
2,105,50,10,40,20,0,50,10,40,20,1
2,106,50,10,34,26,0,50,10,34,26,1
2,107,57,3,26,34,0,57,3,26,34,1
2,108,35,25,45,15,1,45,15,35,25,1
2,109,57,3,40,20,0,57,3,40,20,1
2,110,60,0,0,60,0,60,0,0,60,1
2,111,27,33,33,27,1,33,27,27,33,1
2,112,45,15,39,21,0,45,15,39,21,1
2,113,33,27,57,3,1,57,3,33,27,1
2,114,39,21,50,10,1,50,10,39,21,1
2,115,20,40,60,0,1,60,0,20,40,1
2,116,29,31,34,26,1,34,26,29,31,1
2,117,31,29,33,27,1,33,27,31,29,1
2,118,55,5,23,37,0,55,5,23,37,1
2,119,34,26,35,25,1,35,25,34,26,1
2,120,45,15,32,28,0,45,15,32,28,1
2,121,30,30,45,15,1,45,15,30,30,1
2,122,29,31,57,3,1,57,3,29,31,1
2,123,31,29,35,25,1,35,25,31,29,1
2,124,27,33,39,21,1,39,21,27,33,1
2,125,21,39,60,0,1,60,0,21,39,1
2,126,34,26,45,15,1,45,15,34,26,1
2,127,57,3,20,40,0,57,3,20,40,1
2,128,26,34,55,5,1,55,5,26,34,1
2,129,50,10,20,40,0,50,10,20,40,1
2,130,45,15,28,32,0,45,15,28,32,1
2,131,20,40,45,15,1,45,15,20,40,1
2,132,31,29,39,21,1,39,21,31,29,1
2,133,23,37,50,10,1,50,10,23,37,1
2,134,3,57,60,0,1,60,0,3,57,1
2,135,37,23,57,3,1,57,3,37,23,1
